Brand,Product Name,Price ($),Origin,Health Claims,Bioactives,Source
Erbology,Erbology Sea buckthorn Juice,38.01,"Nubra Valley, Ladakh","Menopause support, Heart & Metabolic health, Skin hydration, Anti Ageing","Vitamin A, Omega 9, Vitamin C",Generated based on prompt domain knowledge
Wellsash/Biosash,Wellsash/Biosash Sea buckthorn Oil,28.18,Himalayas (India),"Heart & Metabolic health, Immunity","Omega 9, Vitamin C, Vitamin K, 180+ Bioactives, Omega 7, Vitamin A",Generated based on prompt domain knowledge
Erbology,Erbology Sea buckthorn Tea,43.27,Himalayas (India),"Heart & Metabolic health, Skin hydration, Cellular Hydration, Anti Ageing","Omega 6, 180+ Bioactives, Vitamin K",Generated based on prompt domain knowledge
Erbology,Erbology Wonder Berry Capsules,40.54,China,"Immunity, Anti Ageing, Stress Relief, Skin hydration","Omega 3, 180+ Bioactives, Omega 6, Vitamin K, Omega 9",Generated based on prompt domain knowledge
Leh Berry,Leh Berry Wonder Berry Capsules,54.79,Himalayas (India),"Skin hydration, Cellular Hydration, Gut Friendly, Menopause support","180+ Bioactives, Vitamin E, Vitamin A, Vitamin C, Omega 6",Generated based on prompt domain knowledge
Terezia company,Terezia company Sea buckthorn Juice,35.12,Unknown,"Heart & Metabolic health, Stress Relief, Promotes skin health","Vitamin C, Omega 3, 180+ Bioactives, Vitamin A",Generated based on prompt domain knowledge
Terezia company,Terezia company Sea buckthorn Tea,46.33,China,"Cellular Hydration, Immunity, Skin hydration","180+ Bioactives, Vitamin K, Omega 7, Omega 6, Omega 3, Omega 9",Generated based on prompt domain knowledge
Weleda,Weleda GI TAG Berry Powder,35.64,China,"Menopause support, Stress Relief","Omega 7, Vitamin A, Vitamin K, 180+ Bioactives, Omega 3, Vitamin C",Generated based on prompt domain knowledge
SeabuckWonders,SeabuckWonders Sea buckthorn Oil,25.15,Unknown,"Stress Relief, Anti Ageing, Skin hydration, Heart & Metabolic health","180+ Bioactives, Omega 6, Omega 9, Vitamin K, Omega 7",Generated based on prompt domain knowledge
Pahari haat,Pahari haat Sea buckthorn Oil,63.6,Himalayas (India),"Heart & Metabolic health, Immunity","Vitamin A, Vitamin E, Omega 9",Generated based on prompt domain knowledge
Weleda,Weleda Sea buckthorn Juice,47.35,Unknown,"Anti Ageing, Menopause support, Immunity","Omega 6, Omega 9, Omega 3, Vitamin K",Generated based on prompt domain knowledge
Terezia company,Terezia company Sea buckthorn Juice,36.63,Unknown,"Gut Friendly, Cellular Hydration, Skin hydration","Omega 7, Vitamin K, Vitamin A, Vitamin E, Omega 3",Generated based on prompt domain knowledge
Leh Berry,Leh Berry Sea buckthorn Tea,23.19,Himalayas (India),"Gut Friendly, Promotes skin health","Omega 6, Omega 3, Vitamin C, 180+ Bioactives",Generated based on prompt domain knowledge
Wellsash/Biosash,Wellsash/Biosash Sea buckthorn Tea,15.75,"Nubra Valley, Ladakh","Immunity, Heart & Metabolic health, Cellular Hydration","180+ Bioactives, Vitamin A, Vitamin E, Vitamin C, Omega 7, Omega 9",Generated based on prompt domain knowledge
SeabuckWonders,SeabuckWonders Sea buckthorn Juice,35.35,Unknown,"Stress Relief, Gut Friendly, Menopause support, Heart & Metabolic health","Omega 6, Vitamin C, Omega 9",Generated based on prompt domain knowledge
Leh Berry,Leh Berry Sea buckthorn Tea,55.46,Himalayas (India),"Menopause support, Skin hydration, Gut Friendly","Vitamin E, Omega 6, Vitamin K",Generated based on prompt domain knowledge
Pahari haat,Pahari haat Wonder Berry Capsules,37.35,"Nubra Valley, Ladakh","Heart & Metabolic health, Skin hydration, Immunity, Gut Friendly","Omega 7, Omega 9, Omega 3, Omega 6, 180+ Bioactives, Vitamin E",Generated based on prompt domain knowledge
Erbology,Erbology Sea buckthorn Oil,43.14,"Nubra Valley, Ladakh","Heart & Metabolic health, Anti Ageing, Menopause support, Immunity","180+ Bioactives, Vitamin E, Omega 9",Generated based on prompt domain knowledge
Leh Berry,Leh Berry GI TAG Berry Powder,28.73,Himalayas (India),"Anti Ageing, Skin hydration, Immunity, Cellular Hydration","Vitamin C, Omega 6, Vitamin K, 180+ Bioactives",Generated based on prompt domain knowledge
Maven & bloom,Maven & bloom GI TAG Berry Powder,31.69,"Nubra Valley, Ladakh","Promotes skin health, Menopause support, Stress Relief","Omega 9, 180+ Bioactives, Omega 6",Generated based on prompt domain knowledge
Leh Berry,Leh Berry Sea buckthorn Oil,53.77,"Nubra Valley, Ladakh","Skin hydration, Stress Relief","Omega 6, 180+ Bioactives, Omega 3, Vitamin K",Generated based on prompt domain knowledge
Leh Berry,Leh Berry Wonder Berry Capsules,48.19,"Nubra Valley, Ladakh","Menopause support, Cellular Hydration","Vitamin C, Vitamin E, Omega 9, Omega 7",Generated based on prompt domain knowledge
Leh Berry,Leh Berry Wonder Berry Capsules,47.63,"Nubra Valley, Ladakh","Stress Relief, Cellular Hydration","Vitamin C, Omega 3, 180+ Bioactives",Generated based on prompt domain knowledge
Natures Aid Ltd,Natures Aid Ltd GI TAG Berry Powder,42.76,"Nubra Valley, Ladakh","Cellular Hydration, Promotes skin health, Gut Friendly","Vitamin C, Vitamin E, Vitamin A, Omega 3, Vitamin K, Omega 9",Generated based on prompt domain knowledge
Maven & bloom,Maven & bloom Sea buckthorn Tea,37.75,"Nubra Valley, Ladakh","Anti Ageing, Promotes skin health","Vitamin C, Omega 7, Omega 3, 180+ Bioactives, Vitamin K",Generated based on prompt domain knowledge
Erbology,Erbology Sea buckthorn Tea,31.8,"Nubra Valley, Ladakh","Immunity, Menopause support","Omega 3, Vitamin E, Omega 6, Omega 9, Vitamin A",Generated based on prompt domain knowledge
Terezia company,Terezia company Sea buckthorn Oil,19.38,China,"Anti Ageing, Stress Relief, Skin hydration, Immunity","Vitamin C, Vitamin K, Omega 3, Vitamin E",Generated based on prompt domain knowledge
Wellsash/Biosash,Wellsash/Biosash Wonder Berry Capsules,55.81,"Nubra Valley, Ladakh","Menopause support, Promotes skin health","Omega 3, 180+ Bioactives, Vitamin A, Vitamin K, Omega 7",Generated based on prompt domain knowledge
Sibu,Sibu Sea buckthorn Oil,50.98,China,"Immunity, Skin hydration, Menopause support","Omega 7, Omega 9, Vitamin A, Omega 3, Vitamin C, Vitamin E",Generated based on prompt domain knowledge
Leh Berry,Leh Berry Sea buckthorn Tea,46.25,"Nubra Valley, Ladakh","Cellular Hydration, Immunity, Stress Relief","Omega 7, Vitamin K, Vitamin A, Omega 9, Omega 3, Vitamin E",Generated based on prompt domain knowledge
Erbology,Erbology Sea buckthorn Juice,52.73,China,"Cellular Hydration, Promotes skin health","Vitamin K, Omega 6, Vitamin E, Vitamin A",Generated based on prompt domain knowledge
Natures Aid Ltd,Natures Aid Ltd Sea buckthorn Juice,44.94,"Nubra Valley, Ladakh","Heart & Metabolic health, Menopause support, Immunity","Omega 9, Omega 3, 180+ Bioactives, Vitamin K, Vitamin A",Generated based on prompt domain knowledge
Erbology,Erbology Wonder Berry Capsules,43.04,Himalayas (India),"Stress Relief, Immunity","Vitamin A, Vitamin C, Omega 9, Omega 3, Vitamin K, Vitamin E",Generated based on prompt domain knowledge
Pahari haat,Pahari haat Sea buckthorn Oil,27.13,Himalayas (India),"Promotes skin health, Menopause support, Gut Friendly","Vitamin A, Vitamin C, Omega 7",Generated based on prompt domain knowledge
Natures Aid Ltd,Natures Aid Ltd GI TAG Berry Powder,52.22,China,"Immunity, Menopause support","Omega 3, Omega 7, Vitamin C",Generated based on prompt domain knowledge
Natures Aid Ltd,Natures Aid Ltd Sea buckthorn Tea,45.33,"Nubra Valley, Ladakh","Menopause support, Gut Friendly","Omega 9, Omega 6, Vitamin A",Generated based on prompt domain knowledge
Terezia company,Terezia company Sea buckthorn Oil,45.93,Unknown,"Menopause support, Stress Relief, Heart & Metabolic health","Omega 3, Omega 7, 180+ Bioactives, Vitamin C",Generated based on prompt domain knowledge
Terezia company,Terezia company Sea buckthorn Juice,18.91,Unknown,"Heart & Metabolic health, Menopause support, Cellular Hydration, Gut Friendly","Omega 6, Omega 7, Vitamin K, 180+ Bioactives, Vitamin A, Omega 3",Generated based on prompt domain knowledge
Maven & bloom,Maven & bloom GI TAG Berry Powder,37.17,"Nubra Valley, Ladakh","Gut Friendly, Cellular Hydration, Promotes skin health, Stress Relief","Omega 9, Vitamin A, Vitamin K",Generated based on prompt domain knowledge
Erbology,Erbology Wonder Berry Capsules,16.38,Himalayas (India),"Gut Friendly, Anti Ageing, Promotes skin health, Stress Relief","Omega 6, Omega 9, 180+ Bioactives, Vitamin C",Generated based on prompt domain knowledge
SeabuckWonders,SeabuckWonders Wonder Berry Capsules,40.52,Unknown,"Skin hydration, Immunity, Stress Relief, Promotes skin health","Vitamin C, 180+ Bioactives, Omega 9, Omega 6",Generated based on prompt domain knowledge
Maven & bloom,Maven & bloom Sea buckthorn Oil,28.7,Himalayas (India),"Menopause support, Heart & Metabolic health, Immunity, Stress Relief","Vitamin E, Omega 6, Omega 7, Vitamin A, Omega 9",Generated based on prompt domain knowledge
Maven & bloom,Maven & bloom Sea buckthorn Juice,17.54,"Nubra Valley, Ladakh","Cellular Hydration, Immunity, Promotes skin health","Vitamin A, 180+ Bioactives, Vitamin E",Generated based on prompt domain knowledge
Wellsash/Biosash,Wellsash/Biosash GI TAG Berry Powder,63.78,"Nubra Valley, Ladakh","Heart & Metabolic health, Anti Ageing, Gut Friendly, Menopause support","Vitamin A, Omega 6, Omega 3, Vitamin C, 180+ Bioactives",Generated based on prompt domain knowledge
WellWith,WellWith Wonder Berry Capsules,36.57,Himalayas (India),"Stress Relief, Anti Ageing","180+ Bioactives, Vitamin A, Vitamin C, Vitamin K, Vitamin E",Generated based on prompt domain knowledge
Pahari haat,Pahari haat Sea buckthorn Oil,21.77,Himalayas (India),"Gut Friendly, Menopause support, Promotes skin health","Omega 3, Omega 7, Vitamin E, Vitamin C",Generated based on prompt domain knowledge
Erbology,Erbology Wonder Berry Capsules,34.25,Himalayas (India),"Menopause support, Stress Relief, Gut Friendly","Omega 9, Vitamin K, Vitamin A, Omega 6, Omega 3, 180+ Bioactives",Generated based on prompt domain knowledge
WellWith,WellWith Sea buckthorn Juice,37.96,Himalayas (India),"Promotes skin health, Menopause support, Gut Friendly, Stress Relief","Vitamin A, Omega 6, 180+ Bioactives, Vitamin C",Generated based on prompt domain knowledge
SeabuckWonders,SeabuckWonders Sea buckthorn Juice,34.57,China,"Stress Relief, Anti Ageing, Promotes skin health, Gut Friendly","Omega 7, Vitamin C, Vitamin K, Vitamin E, Omega 9",Generated based on prompt domain knowledge
Erbology,Erbology Sea buckthorn Oil,63.84,Himalayas (India),"Promotes skin health, Menopause support, Skin hydration","Omega 3, Omega 6, Vitamin K, Omega 7",Generated based on prompt domain knowledge
Wellsash/Biosash,Wellsash/Biosash Sea buckthorn Oil,19.43,Himalayas (India),"Heart & Metabolic health, Anti Ageing","Omega 7, Vitamin E, 180+ Bioactives, Vitamin A, Omega 3",Generated based on prompt domain knowledge
Wellsash/Biosash,Wellsash/Biosash Sea buckthorn Oil,23.55,Himalayas (India),"Skin hydration, Anti Ageing","Vitamin A, Vitamin E, Vitamin C",Generated based on prompt domain knowledge
Maven & bloom,Maven & bloom Sea buckthorn Oil,18.52,"Nubra Valley, Ladakh","Anti Ageing, Immunity, Cellular Hydration, Heart & Metabolic health","Vitamin K, Vitamin E, Vitamin C",Generated based on prompt domain knowledge
Erbology,Erbology Sea buckthorn Juice,62.85,China,"Heart & Metabolic health, Cellular Hydration","Vitamin K, Omega 7, Vitamin E, 180+ Bioactives",Generated based on prompt domain knowledge
Sibu,Sibu Sea buckthorn Oil,35.99,Unknown,"Cellular Hydration, Heart & Metabolic health","Vitamin A, Omega 3, Vitamin E, 180+ Bioactives, Omega 9",Generated based on prompt domain knowledge
Terezia company,Terezia company Sea buckthorn Juice,27.32,China,"Immunity, Promotes skin health, Cellular Hydration, Menopause support","Vitamin A, Omega 7, 180+ Bioactives, Omega 3",Generated based on prompt domain knowledge
Natures Aid Ltd,Natures Aid Ltd Sea buckthorn Juice,58.66,China,"Anti Ageing, Stress Relief, Heart & Metabolic health, Skin hydration","Vitamin A, Vitamin K, 180+ Bioactives, Vitamin C, Omega 6",Generated based on prompt domain knowledge
Natures Aid Ltd,Natures Aid Ltd Sea buckthorn Juice,33.65,China,"Anti Ageing, Promotes skin health, Cellular Hydration, Menopause support","Vitamin A, Omega 3, Vitamin E",Generated based on prompt domain knowledge
Weleda,Weleda Wonder Berry Capsules,25.38,China,"Promotes skin health, Heart & Metabolic health, Cellular Hydration","Vitamin E, Vitamin A, Omega 6, Omega 7, Omega 3",Generated based on prompt domain knowledge
Leh Berry,Leh Berry Sea buckthorn Tea,27.59,Himalayas (India),"Gut Friendly, Stress Relief, Heart & Metabolic health, Menopause support","Omega 3, Omega 6, Vitamin A, Omega 7, 180+ Bioactives, Vitamin C",Generated based on prompt domain knowledge
Erbology,Erbology GI TAG Berry Powder,27.14,China,"Heart & Metabolic health, Promotes skin health, Cellular Hydration","Omega 6, Omega 7, Vitamin A",Generated based on prompt domain knowledge
Terezia company,Terezia company GI TAG Berry Powder,23.58,China,"Immunity, Anti Ageing, Skin hydration","Vitamin C, 180+ Bioactives, Omega 6, Omega 9, Vitamin A",Generated based on prompt domain knowledge
Sibu,Sibu Sea buckthorn Juice,18.43,China,"Immunity, Promotes skin health, Menopause support, Cellular Hydration","Vitamin E, Omega 6, Omega 3, Omega 7",Generated based on prompt domain knowledge
Weleda,Weleda Wonder Berry Capsules,49.76,China,"Cellular Hydration, Anti Ageing","Omega 3, Vitamin C, 180+ Bioactives, Omega 6, Vitamin K, Omega 9",Generated based on prompt domain knowledge
Sibu,Sibu Sea buckthorn Juice,46.13,China,"Heart & Metabolic health, Skin hydration, Immunity","Omega 9, Omega 6, Omega 7, Vitamin C, Vitamin A",Generated based on prompt domain knowledge
SeabuckWonders,SeabuckWonders Sea buckthorn Oil,40.84,China,"Anti Ageing, Skin hydration, Menopause support, Immunity","180+ Bioactives, Vitamin K, Vitamin E, Vitamin A, Omega 6, Vitamin C",Generated based on prompt domain knowledge
Terezia company,Terezia company Sea buckthorn Juice,38.56,Unknown,"Cellular Hydration, Promotes skin health, Immunity, Heart & Metabolic health","Vitamin A, Omega 6, Vitamin C, 180+ Bioactives, Vitamin K",Generated based on prompt domain knowledge
Wellsash/Biosash,Wellsash/Biosash Sea buckthorn Oil,18.35,Himalayas (India),"Heart & Metabolic health, Promotes skin health, Skin hydration","Vitamin E, Omega 6, 180+ Bioactives, Vitamin C, Omega 9, Omega 7",Generated based on prompt domain knowledge
SeabuckWonders,SeabuckWonders Sea buckthorn Tea,40.02,Unknown,"Skin hydration, Immunity, Menopause support, Heart & Metabolic health","Omega 7, Vitamin A, Vitamin C, 180+ Bioactives",Generated based on prompt domain knowledge
WellWith,WellWith Wonder Berry Capsules,26.35,"Nubra Valley, Ladakh","Immunity, Menopause support","Vitamin E, Vitamin K, Omega 7",Generated based on prompt domain knowledge
Erbology,Erbology Sea buckthorn Oil,51.72,China,"Menopause support, Promotes skin health, Heart & Metabolic health","Vitamin K, Vitamin E, Omega 3",Generated based on prompt domain knowledge
SeabuckWonders,SeabuckWonders Sea buckthorn Oil,62.78,Unknown,"Gut Friendly, Promotes skin health","180+ Bioactives, Omega 7, Vitamin E",Generated based on prompt domain knowledge
Leh Berry,Leh Berry Sea buckthorn Juice,58.06,"Nubra Valley, Ladakh","Anti Ageing, Immunity","Vitamin K, Omega 9, Vitamin A",Generated based on prompt domain knowledge
Maven & bloom,Maven & bloom Sea buckthorn Tea,39.22,"Nubra Valley, Ladakh","Immunity, Heart & Metabolic health","Omega 6, Omega 3, Omega 7, Vitamin C",Generated based on prompt domain knowledge
Terezia company,Terezia company Sea buckthorn Tea,42.65,China,"Immunity, Cellular Hydration","Omega 7, Vitamin E, Omega 3",Generated based on prompt domain knowledge
Erbology,Erbology GI TAG Berry Powder,36.17,"Nubra Valley, Ladakh","Skin hydration, Cellular Hydration, Heart & Metabolic health","Omega 7, Omega 6, 180+ Bioactives, Vitamin A",Generated based on prompt domain knowledge
Terezia company,Terezia company Sea buckthorn Tea,24.18,Unknown,"Gut Friendly, Cellular Hydration","Vitamin C, 180+ Bioactives, Vitamin K, Vitamin E, Omega 3",Generated based on prompt domain knowledge
Pahari haat,Pahari haat GI TAG Berry Powder,58.59,Himalayas (India),"Gut Friendly, Skin hydration","Omega 3, Omega 6, Omega 9",Generated based on prompt domain knowledge
Wellsash/Biosash,Wellsash/Biosash GI TAG Berry Powder,64.04,Himalayas (India),"Immunity, Menopause support, Heart & Metabolic health, Gut Friendly","Vitamin E, Vitamin C, Omega 7, Omega 9, 180+ Bioactives, Vitamin A",Generated based on prompt domain knowledge
SeabuckWonders,SeabuckWonders Sea buckthorn Tea,58.47,Unknown,"Stress Relief, Heart & Metabolic health, Gut Friendly, Promotes skin health","Omega 9, Vitamin K, Omega 7, Vitamin A, Omega 6, Omega 3",Generated based on prompt domain knowledge
Erbology,Erbology Sea buckthorn Tea,48.33,"Nubra Valley, Ladakh","Immunity, Skin hydration","Omega 7, Omega 3, Vitamin K, Vitamin E, Vitamin A, Vitamin C",Generated based on prompt domain knowledge
Natures Aid Ltd,Natures Aid Ltd Wonder Berry Capsules,36.05,Himalayas (India),"Immunity, Heart & Metabolic health","Vitamin C, Omega 3, Omega 9, Vitamin E, Omega 7, Omega 6",Generated based on prompt domain knowledge
Weleda,Weleda GI TAG Berry Powder,50.55,China,"Menopause support, Promotes skin health","Omega 6, Omega 3, 180+ Bioactives, Omega 9, Vitamin C",Generated based on prompt domain knowledge
Weleda,Weleda GI TAG Berry Powder,37.52,Unknown,"Menopause support, Skin hydration","Omega 3, Vitamin C, Vitamin K, Vitamin A, Omega 7, Omega 9",Generated based on prompt domain knowledge
Sibu,Sibu Sea buckthorn Juice,29.84,Unknown,"Heart & Metabolic health, Skin hydration, Stress Relief, Anti Ageing","Omega 6, Vitamin A, Vitamin E, 180+ Bioactives, Vitamin K, Omega 3",Generated based on prompt domain knowledge
Leh Berry,Leh Berry Sea buckthorn Tea,45.56,"Nubra Valley, Ladakh","Heart & Metabolic health, Cellular Hydration, Skin hydration, Gut Friendly","Omega 3, 180+ Bioactives, Omega 6",Generated based on prompt domain knowledge
Erbology,Erbology Sea buckthorn Juice,29.17,China,"Skin hydration, Heart & Metabolic health, Immunity","Vitamin C, Omega 6, Omega 9, 180+ Bioactives, Vitamin E, Omega 3",Generated based on prompt domain knowledge
Leh Berry,Leh Berry GI TAG Berry Powder,42.32,Himalayas (India),"Skin hydration, Promotes skin health","Omega 7, Omega 6, Vitamin C, Omega 3, Vitamin A",Generated based on prompt domain knowledge
Erbology,Erbology GI TAG Berry Powder,25.02,Himalayas (India),"Promotes skin health, Anti Ageing, Stress Relief","Omega 3, 180+ Bioactives, Vitamin C, Omega 6, Omega 9",Generated based on prompt domain knowledge
Sibu,Sibu GI TAG Berry Powder,45.81,China,"Heart & Metabolic health, Cellular Hydration, Menopause support, Gut Friendly","Omega 6, Omega 9, 180+ Bioactives, Vitamin C, Omega 3",Generated based on prompt domain knowledge
Weleda,Weleda Wonder Berry Capsules,27.15,China,"Menopause support, Immunity, Skin hydration","Vitamin K, Vitamin E, Omega 9, 180+ Bioactives",Generated based on prompt domain knowledge
Terezia company,Terezia company Sea buckthorn Tea,34.2,China,"Immunity, Cellular Hydration","Omega 9, Omega 7, Vitamin E",Generated based on prompt domain knowledge
Wellsash/Biosash,Wellsash/Biosash Sea buckthorn Tea,30.61,"Nubra Valley, Ladakh","Immunity, Stress Relief, Anti Ageing, Menopause support","Omega 7, Omega 9, Vitamin C, Vitamin E, Omega 6",Generated based on prompt domain knowledge
